days_asymp_lax,days_asymp_strict,total_infected,total_not_detected,students_affected,students_disrupted,panel,panelname,asymp_ratio,beta_aerosol_factor,mu_pip,world,protocol,simulation_number,betaenv,betaindex,index_asymp
9.6,9.6,4,0,90,91,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8.8,8.8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
9.6,9.6,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
11.2,11.2,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
10.4,10.4,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8.8,8.8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8.8,8.8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
16.8,11.2,6,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
9.6,9.6,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8.8,8.8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
9.6,9.6,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
9.6,9.6,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
10.4,7.2,5,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8.8,8.8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
9.6,9.6,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
10.4,10.4,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
11.2,10,5,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
16,8,5,1,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
11.2,11.2,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
10.4,10.4,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8.8,8.8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
12,8.8,5,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
9.6,9.6,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
10.4,10.4,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8,8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
11.2,8.8,5,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8.8,8.8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
9.6,9.6,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8,8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
22.4,10.8,6,1,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8.8,8.8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
10.4,10.4,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
22.4,8.8,5,1,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8,8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
9.6,9.6,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
9.6,9.6,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
7.2,7.2,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8.8,8.8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
15.2,10,6,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
7.2,7.2,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
9.6,9.6,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
10.4,10.4,4,0,90,91,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8.8,8.8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
12,12,4,0,90,91,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8.8,8.8,4,0,90,91,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
12,10,5,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8.8,8.8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
10.4,10.4,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8.8,8.8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
11.2,9.6,5,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
10.4,8,5,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
10.4,10.4,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8,8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
10.4,10.4,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8.8,8.8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
12.8,11.6,5,1,90,90,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
10.4,10.4,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
9.6,9.6,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8,8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8.8,8.8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8,8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
11.2,10,5,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8.8,8.8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8.8,8.8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
10.4,10.4,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8,8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
9.6,9.6,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
10.4,10.4,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
10.4,10.4,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
12,10.8,5,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8.8,8.8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
10.4,8.8,5,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
12,12,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8.8,8.8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8.8,8.8,4,0,90,91,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
8.8,8.8,4,0,120,120,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,0
47.2,44.8,7,5,60,60,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
46.4,46.4,5,5,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
29.6,29.6,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
41.6,41.6,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
39.2,39.2,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
31.2,29.2,6,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
30.4,30.4,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
67.2,63.6,7,6,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
48.8,48.8,5,5,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
35.2,35.2,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
48.8,48.8,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
48,48,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
56.8,56.8,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
47.2,47.2,6,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
68,63.6,6,5,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
42.4,42.4,6,4,60,60,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
44.8,44.8,5,5,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
43.2,42.8,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
44.8,44.8,5,5,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
58.4,56.8,7,4,60,60,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
28.8,28.8,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
48,48,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
34.4,34.4,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
75.2,74.8,8,7,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
36,36,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
31.2,31.2,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
40.8,40.8,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
22.4,22.4,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
42.4,42.4,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
65.6,65.6,6,6,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
39.2,32.8,6,5,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
36,36,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
44,44,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
52,52,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
31.2,31.2,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
72,52,6,5,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
28.8,28.8,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
49.6,49.6,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
35.2,35.2,5,5,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
48.8,48.8,6,6,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
25.6,25.6,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
51.2,50.8,6,5,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
57.6,57.6,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
28,28,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
24.8,24.8,5,4,0,1,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
48,48,5,5,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
60,60,5,5,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
50.4,44.8,6,4,60,60,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
41.6,41.6,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
53.6,53.6,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
45.6,44,7,5,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
37.6,37.6,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
56.8,56.8,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
65.6,65.6,7,6,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
47.2,47.2,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
37.6,37.6,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
58.4,58.4,5,5,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
43.2,43.2,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
60.8,60.8,5,5,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
20.8,20.8,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
36.8,36.8,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
32.8,32.8,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
27.2,27.2,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
36,36,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
70.4,60.8,6,5,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
60,48.8,6,5,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
40,40,5,5,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
36.8,34.4,6,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
50.4,50.4,6,5,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
41.6,41.6,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
47.2,42,7,6,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
48,48,5,5,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
58.4,58.4,5,5,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
35.2,35.2,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
28.8,28.8,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
41.6,41.6,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
60,60,6,5,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
69.6,58.4,6,5,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
46.4,46.4,6,4,60,60,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
40,40,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
44.8,38.8,6,5,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
35.2,35.2,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
102.4,102.4,7,7,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
75.2,73.6,10,6,60,60,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
63.2,58,7,5,60,60,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
48,48,6,4,60,60,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
32,32,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
39.2,39.2,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
56,51.6,7,5,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
27.2,27.2,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
38.4,38.4,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
100.8,100.8,7,7,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
64.8,64.8,7,5,60,60,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
76,76,6,5,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
44,36.4,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
48,48,6,5,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
51.2,51.2,5,5,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
48,48,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
46.4,46.4,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
41.6,41.6,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
46.4,42.8,6,5,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
43.2,43.2,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
48.8,48.8,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
72,68,7,6,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
39.2,34.8,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
54.4,51.2,6,4,60,60,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
38.4,38.4,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
63.2,63.2,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
40,40,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
48,46,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
40,40,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
33.6,33.6,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
31.2,31.2,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
62.4,62.4,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
38.4,38.4,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
56,56,7,5,60,60,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
38.4,38.4,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
49.6,49.6,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
36,36,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
61.6,61.6,5,5,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
48.8,48.8,5,5,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
27.2,27.2,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
46.4,46.4,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
34.4,34.4,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
32.8,32.8,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
56,56,5,5,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
26.4,26.4,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
59.2,59.2,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
46.4,37.2,7,5,60,60,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
37.6,37.6,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
57.6,54.8,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
50.4,50.4,7,5,60,60,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
36,36,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
33.6,33.6,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
58.4,46.4,7,5,60,60,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
64.8,57.2,6,5,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
37.6,37.6,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
42.4,42.4,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
37.6,37.6,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
50.4,50.4,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
36,36,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
40,38,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
60.8,60.8,6,4,60,60,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
60.8,60.8,6,6,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
36,36,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
37.6,37.6,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
57.6,57.6,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
34.4,34.4,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
50.4,50.4,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
35.2,35.2,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
26.4,26.4,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
43.2,43.2,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
57.6,57.2,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
52.8,44.8,6,4,60,60,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
33.6,33.6,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
48,48,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
41.6,41.6,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
43.2,43.2,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
47.2,47.2,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
51.2,51.2,5,5,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
36.8,36.8,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
57.6,51.2,8,6,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
55.2,50,6,4,60,60,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
75.2,75.2,7,6,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
95.2,86,7,6,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
45.6,45.6,5,5,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
56,56,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
35.2,35.2,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
51.2,51.2,5,5,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
41.6,41.6,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
37.6,37.6,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
63.2,63.2,8,6,60,60,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
39.2,39.2,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
43.2,43.2,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
40,37.2,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
34.4,34.4,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
45.6,45.6,6,5,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
55.2,42.8,10,6,90,90,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
55.2,55.2,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
61.6,61.6,6,5,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
56.8,56.8,5,5,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
32,32,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
57.6,57.6,6,6,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
50.4,38.8,6,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
44,44,5,4,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
54.4,54.4,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
53.6,53.6,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
51.2,51.2,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
50.4,50.4,4,4,0,0,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
44.8,44.8,6,5,30,30,1,"env beta low, index same",0.8,0.25,2,d,IV,4000,0.003,1,1
